"year","variable","value","tributary"
2076,"growPercent_year",0.716,"genesee"
2077,"growPercent_year",0.714,"genesee"
2078,"growPercent_year",0.752,"genesee"
2079,"growPercent_year",0.734,"genesee"
2080,"growPercent_year",0.744,"genesee"
2081,"growPercent_year",0.722,"genesee"
2082,"growPercent_year",0.728,"genesee"
2083,"growPercent_year",0.73,"genesee"
2084,"growPercent_year",0.718,"genesee"
2085,"growPercent_year",0.758,"genesee"
2086,"growPercent_year",0.746,"genesee"
2087,"growPercent_year",0.734,"genesee"
2088,"growPercent_year",0.746,"genesee"
2089,"growPercent_year",0.77,"genesee"
2090,"growPercent_year",0.766,"genesee"
2091,"growPercent_year",0.748,"genesee"
2092,"growPercent_year",0.77,"genesee"
2093,"growPercent_year",0.764,"genesee"
2094,"growPercent_year",0.79,"genesee"
2095,"growPercent_year",0.782,"genesee"
2096,"growPercent_year",0.77,"genesee"
2097,"growPercent_year",0.776,"genesee"
2098,"growPercent_year",0.802,"genesee"
2099,"growPercent_year",0.782,"genesee"
2015,"num.spawnDays",101.6,"genesee"
2016,"num.spawnDays",113,"genesee"
2017,"num.spawnDays",104.6,"genesee"
2018,"num.spawnDays",95.8,"genesee"
2019,"num.spawnDays",100.8,"genesee"
2020,"num.spawnDays",112.8,"genesee"
2021,"num.spawnDays",106.4,"genesee"
2022,"num.spawnDays",105.8,"genesee"
2023,"num.spawnDays",105.6,"genesee"
2024,"num.spawnDays",104.6,"genesee"
2025,"num.spawnDays",107.2,"genesee"
2026,"num.spawnDays",104.4,"genesee"
2027,"num.spawnDays",115,"genesee"
2028,"num.spawnDays",115.2,"genesee"
2029,"num.spawnDays",118.4,"genesee"
2030,"num.spawnDays",115.8,"genesee"
2031,"num.spawnDays",112.4,"genesee"
2032,"num.spawnDays",121.8,"genesee"
2033,"num.spawnDays",118.8,"genesee"
2034,"num.spawnDays",116.6,"genesee"
2035,"num.spawnDays",122,"genesee"
2036,"num.spawnDays",120.6,"genesee"
2037,"num.spawnDays",126.4,"genesee"
2038,"num.spawnDays",122.4,"genesee"
2039,"num.spawnDays",121.6,"genesee"
2040,"num.spawnDays",128,"genesee"
2041,"num.spawnDays",123.2,"genesee"
2042,"num.spawnDays",124.4,"genesee"
2043,"num.spawnDays",126.8,"genesee"
2044,"num.spawnDays",131.6,"genesee"
2045,"num.spawnDays",133,"genesee"
2046,"num.spawnDays",120.2,"genesee"
2047,"num.spawnDays",130.6,"genesee"
2048,"num.spawnDays",120.2,"genesee"
2049,"num.spawnDays",131.8,"genesee"
2050,"num.spawnDays",131,"genesee"
2051,"num.spawnDays",133.6,"genesee"
2052,"num.spawnDays",129,"genesee"
2053,"num.spawnDays",135.8,"genesee"
2054,"num.spawnDays",132.6,"genesee"
2055,"num.spawnDays",136,"genesee"
2056,"num.spawnDays",136.6,"genesee"
2057,"num.spawnDays",140,"genesee"
2058,"num.spawnDays",137.8,"genesee"
2059,"num.spawnDays",138.4,"genesee"
2060,"num.spawnDays",138.4,"genesee"
2061,"num.spawnDays",143.4,"genesee"
2062,"num.spawnDays",133.6,"genesee"
2063,"num.spawnDays",135.2,"genesee"
2064,"num.spawnDays",141.8,"genesee"
2065,"num.spawnDays",143,"genesee"
2066,"num.spawnDays",140.8,"genesee"
2067,"num.spawnDays",143.8,"genesee"
2068,"num.spawnDays",140.8,"genesee"
2069,"num.spawnDays",151.8,"genesee"
2070,"num.spawnDays",148.6,"genesee"
2071,"num.spawnDays",154,"genesee"
2072,"num.spawnDays",145.2,"genesee"
2073,"num.spawnDays",153.4,"genesee"
2074,"num.spawnDays",139,"genesee"
2075,"num.spawnDays",151.6,"genesee"
2076,"num.spawnDays",154.2,"genesee"
2077,"num.spawnDays",149.2,"genesee"
2078,"num.spawnDays",160.2,"genesee"
2079,"num.spawnDays",155.6,"genesee"
2080,"num.spawnDays",158.4,"genesee"
2081,"num.spawnDays",158,"genesee"
2082,"num.spawnDays",154.4,"genesee"
2083,"num.spawnDays",150.2,"genesee"
2084,"num.spawnDays",152.8,"genesee"
2085,"num.spawnDays",160.2,"genesee"
2086,"num.spawnDays",160.2,"genesee"
2087,"num.spawnDays",157,"genesee"
2088,"num.spawnDays",161,"genesee"
2089,"num.spawnDays",169,"genesee"
2090,"num.spawnDays",156.4,"genesee"
2091,"num.spawnDays",164.2,"genesee"
2092,"num.spawnDays",165.2,"genesee"
2093,"num.spawnDays",165.2,"genesee"
2094,"num.spawnDays",176.8,"genesee"
2095,"num.spawnDays",166,"genesee"
2096,"num.spawnDays",165.8,"genesee"
2097,"num.spawnDays",169,"genesee"
2098,"num.spawnDays",177,"genesee"
2099,"num.spawnDays",167,"genesee"
2015,"spawnPercent_year",0.276,"genesee"
2016,"spawnPercent_year",0.31,"genesee"
2017,"spawnPercent_year",0.288,"genesee"
2018,"spawnPercent_year",0.262,"genesee"
2019,"spawnPercent_year",0.276,"genesee"
2020,"spawnPercent_year",0.31,"genesee"
2021,"spawnPercent_year",0.294,"genesee"
2022,"spawnPercent_year",0.292,"genesee"
2023,"spawnPercent_year",0.29,"genesee"
2024,"spawnPercent_year",0.284,"genesee"
2025,"spawnPercent_year",0.296,"genesee"
2026,"spawnPercent_year",0.286,"genesee"
2027,"spawnPercent_year",0.316,"genesee"
2028,"spawnPercent_year",0.314,"genesee"
2029,"spawnPercent_year",0.326,"genesee"
2030,"spawnPercent_year",0.316,"genesee"
2031,"spawnPercent_year",0.308,"genesee"
2032,"spawnPercent_year",0.334,"genesee"
2033,"spawnPercent_year",0.326,"genesee"
2034,"spawnPercent_year",0.318,"genesee"
2035,"spawnPercent_year",0.334,"genesee"
2036,"spawnPercent_year",0.33,"genesee"
2037,"spawnPercent_year",0.35,"genesee"
2038,"spawnPercent_year",0.334,"genesee"
2039,"spawnPercent_year",0.332,"genesee"
2040,"spawnPercent_year",0.35,"genesee"
2041,"spawnPercent_year",0.336,"genesee"
2042,"spawnPercent_year",0.34,"genesee"
2043,"spawnPercent_year",0.35,"genesee"
2044,"spawnPercent_year",0.362,"genesee"
2045,"spawnPercent_year",0.364,"genesee"
2046,"spawnPercent_year",0.328,"genesee"
2047,"spawnPercent_year",0.358,"genesee"
2048,"spawnPercent_year",0.33,"genesee"
2049,"spawnPercent_year",0.362,"genesee"
2050,"spawnPercent_year",0.362,"genesee"
2051,"spawnPercent_year",0.366,"genesee"
2052,"spawnPercent_year",0.354,"genesee"
2053,"spawnPercent_year",0.372,"genesee"
2054,"spawnPercent_year",0.362,"genesee"
2055,"spawnPercent_year",0.372,"genesee"
2056,"spawnPercent_year",0.376,"genesee"
2057,"spawnPercent_year",0.384,"genesee"
2058,"spawnPercent_year",0.378,"genesee"
2059,"spawnPercent_year",0.378,"genesee"
2060,"spawnPercent_year",0.38,"genesee"
2061,"spawnPercent_year",0.392,"genesee"
2062,"spawnPercent_year",0.366,"genesee"
2063,"spawnPercent_year",0.37,"genesee"
2064,"spawnPercent_year",0.388,"genesee"
2065,"spawnPercent_year",0.394,"genesee"
2066,"spawnPercent_year",0.386,"genesee"
2067,"spawnPercent_year",0.394,"genesee"
2068,"spawnPercent_year",0.382,"genesee"
2069,"spawnPercent_year",0.416,"genesee"
2070,"spawnPercent_year",0.41,"genesee"
2071,"spawnPercent_year",0.422,"genesee"
2072,"spawnPercent_year",0.396,"genesee"
2073,"spawnPercent_year",0.418,"genesee"
2074,"spawnPercent_year",0.38,"genesee"
2075,"spawnPercent_year",0.418,"genesee"
2076,"spawnPercent_year",0.422,"genesee"
2077,"spawnPercent_year",0.408,"genesee"
2078,"spawnPercent_year",0.438,"genesee"
2079,"spawnPercent_year",0.426,"genesee"
2080,"spawnPercent_year",0.434,"genesee"
2081,"spawnPercent_year",0.432,"genesee"
2082,"spawnPercent_year",0.422,"genesee"
2083,"spawnPercent_year",0.412,"genesee"
2084,"spawnPercent_year",0.418,"genesee"
2085,"spawnPercent_year",0.44,"genesee"
2086,"spawnPercent_year",0.442,"genesee"
2087,"spawnPercent_year",0.432,"genesee"
2088,"spawnPercent_year",0.444,"genesee"
2089,"spawnPercent_year",0.462,"genesee"
2090,"spawnPercent_year",0.428,"genesee"
2091,"spawnPercent_year",0.45,"genesee"
2092,"spawnPercent_year",0.452,"genesee"
2093,"spawnPercent_year",0.452,"genesee"
2094,"spawnPercent_year",0.484,"genesee"
2095,"spawnPercent_year",0.454,"genesee"
2096,"spawnPercent_year",0.454,"genesee"
2097,"spawnPercent_year",0.464,"genesee"
2098,"spawnPercent_year",0.486,"genesee"
2099,"spawnPercent_year",0.456,"genesee"
2015,"spawnDaysRange1",162.6,"genesee"
2016,"spawnDaysRange1",158.2,"genesee"
2017,"spawnDaysRange1",158.6,"genesee"
2018,"spawnDaysRange1",167,"genesee"
2019,"spawnDaysRange1",160.2,"genesee"
2020,"spawnDaysRange1",156.6,"genesee"
2021,"spawnDaysRange1",158.4,"genesee"
2022,"spawnDaysRange1",160,"genesee"
2023,"spawnDaysRange1",163,"genesee"
2024,"spawnDaysRange1",159.8,"genesee"
2025,"spawnDaysRange1",157.2,"genesee"
2026,"spawnDaysRange1",156.6,"genesee"
2027,"spawnDaysRange1",157.8,"genesee"
2028,"spawnDaysRange1",160.2,"genesee"
2029,"spawnDaysRange1",152.4,"genesee"
2030,"spawnDaysRange1",159,"genesee"
2031,"spawnDaysRange1",155,"genesee"
2032,"spawnDaysRange1",157.4,"genesee"
2033,"spawnDaysRange1",148,"genesee"
2034,"spawnDaysRange1",154,"genesee"
2035,"spawnDaysRange1",153.2,"genesee"
2036,"spawnDaysRange1",153,"genesee"
2037,"spawnDaysRange1",147.4,"genesee"
2038,"spawnDaysRange1",152.8,"genesee"
2039,"spawnDaysRange1",153,"genesee"
2040,"spawnDaysRange1",150.8,"genesee"
2041,"spawnDaysRange1",146.8,"genesee"
2042,"spawnDaysRange1",151.4,"genesee"
2043,"spawnDaysRange1",148.4,"genesee"
2044,"spawnDaysRange1",148.8,"genesee"
2045,"spawnDaysRange1",145,"genesee"
2046,"spawnDaysRange1",155.2,"genesee"
2047,"spawnDaysRange1",148.6,"genesee"
2048,"spawnDaysRange1",157.4,"genesee"
2049,"spawnDaysRange1",145,"genesee"
2050,"spawnDaysRange1",147.8,"genesee"
2051,"spawnDaysRange1",148.8,"genesee"
2052,"spawnDaysRange1",151.2,"genesee"
2053,"spawnDaysRange1",147.4,"genesee"
2054,"spawnDaysRange1",144,"genesee"
2055,"spawnDaysRange1",138.6,"genesee"
2056,"spawnDaysRange1",143.4,"genesee"
2057,"spawnDaysRange1",146.8,"genesee"
2058,"spawnDaysRange1",146.4,"genesee"
2059,"spawnDaysRange1",140.4,"genesee"
2060,"spawnDaysRange1",140,"genesee"
2061,"spawnDaysRange1",132,"genesee"
2062,"spawnDaysRange1",147.8,"genesee"
2063,"spawnDaysRange1",140.4,"genesee"
2064,"spawnDaysRange1",144.2,"genesee"
2065,"spawnDaysRange1",140.6,"genesee"
2066,"spawnDaysRange1",147,"genesee"
2067,"spawnDaysRange1",135.8,"genesee"
2068,"spawnDaysRange1",144.2,"genesee"
2069,"spawnDaysRange1",139.4,"genesee"
2070,"spawnDaysRange1",139.2,"genesee"
2071,"spawnDaysRange1",135.4,"genesee"
2072,"spawnDaysRange1",142.6,"genesee"
2073,"spawnDaysRange1",133,"genesee"
2074,"spawnDaysRange1",144.4,"genesee"
2075,"spawnDaysRange1",134,"genesee"
2076,"spawnDaysRange1",135.8,"genesee"
2077,"spawnDaysRange1",139.8,"genesee"
2078,"spawnDaysRange1",130.8,"genesee"
2079,"spawnDaysRange1",136.8,"genesee"
2080,"spawnDaysRange1",131.2,"genesee"
2081,"spawnDaysRange1",137.6,"genesee"
2082,"spawnDaysRange1",138.4,"genesee"
2083,"spawnDaysRange1",144.4,"genesee"
2084,"spawnDaysRange1",144.4,"genesee"
2085,"spawnDaysRange1",133.2,"genesee"
2086,"spawnDaysRange1",126.2,"genesee"
2087,"spawnDaysRange1",135.2,"genesee"
2088,"spawnDaysRange1",139.4,"genesee"
2089,"spawnDaysRange1",127.8,"genesee"
2090,"spawnDaysRange1",137.6,"genesee"
2091,"spawnDaysRange1",130,"genesee"
2092,"spawnDaysRange1",128,"genesee"
2093,"spawnDaysRange1",131.4,"genesee"
2094,"spawnDaysRange1",124.8,"genesee"
2095,"spawnDaysRange1",122.6,"genesee"
2096,"spawnDaysRange1",132.8,"genesee"
2097,"spawnDaysRange1",132.2,"genesee"
2098,"spawnDaysRange1",124.8,"genesee"
2099,"spawnDaysRange1",123.8,"genesee"
2015,"spawnDaysRange2",292.2,"genesee"
2016,"spawnDaysRange2",306.6,"genesee"
2017,"spawnDaysRange2",294.8,"genesee"
2018,"spawnDaysRange2",290,"genesee"
2019,"spawnDaysRange2",304.6,"genesee"
2020,"spawnDaysRange2",305.8,"genesee"
2021,"spawnDaysRange2",294.2,"genesee"
2022,"spawnDaysRange2",306.2,"genesee"
2023,"spawnDaysRange2",294,"genesee"
2024,"spawnDaysRange2",305,"genesee"
2025,"spawnDaysRange2",317.6,"genesee"
2026,"spawnDaysRange2",284.2,"genesee"
2027,"spawnDaysRange2",315.2,"genesee"
2028,"spawnDaysRange2",302.4,"genesee"
2029,"spawnDaysRange2",315.6,"genesee"
2030,"spawnDaysRange2",322.2,"genesee"
2031,"spawnDaysRange2",317.2,"genesee"
2032,"spawnDaysRange2",314.8,"genesee"
2033,"spawnDaysRange2",314.8,"genesee"
2034,"spawnDaysRange2",313.4,"genesee"
2035,"spawnDaysRange2",306.4,"genesee"
2036,"spawnDaysRange2",301.8,"genesee"
2037,"spawnDaysRange2",316.8,"genesee"
2038,"spawnDaysRange2",314.8,"genesee"
2039,"spawnDaysRange2",315.6,"genesee"
2040,"spawnDaysRange2",325.2,"genesee"
2041,"spawnDaysRange2",306.8,"genesee"
2042,"spawnDaysRange2",316.2,"genesee"
2043,"spawnDaysRange2",311.6,"genesee"
2044,"spawnDaysRange2",329.6,"genesee"
2045,"spawnDaysRange2",307.8,"genesee"
2046,"spawnDaysRange2",309.6,"genesee"
2047,"spawnDaysRange2",312.4,"genesee"
2048,"spawnDaysRange2",314.4,"genesee"
2049,"spawnDaysRange2",304.8,"genesee"
2050,"spawnDaysRange2",311.8,"genesee"
2051,"spawnDaysRange2",328.4,"genesee"
2052,"spawnDaysRange2",317,"genesee"
2053,"spawnDaysRange2",310,"genesee"
2054,"spawnDaysRange2",323.4,"genesee"
2055,"spawnDaysRange2",317.6,"genesee"
2056,"spawnDaysRange2",312,"genesee"
2057,"spawnDaysRange2",312.4,"genesee"
2058,"spawnDaysRange2",331.6,"genesee"
2059,"spawnDaysRange2",340.4,"genesee"
2060,"spawnDaysRange2",321.8,"genesee"
2061,"spawnDaysRange2",334.8,"genesee"
2062,"spawnDaysRange2",307.8,"genesee"
2063,"spawnDaysRange2",321.4,"genesee"
2064,"spawnDaysRange2",316.8,"genesee"
2065,"spawnDaysRange2",324,"genesee"
2066,"spawnDaysRange2",327.4,"genesee"
2067,"spawnDaysRange2",333.2,"genesee"
2068,"spawnDaysRange2",328.4,"genesee"
2069,"spawnDaysRange2",332.8,"genesee"
2070,"spawnDaysRange2",314.2,"genesee"
2071,"spawnDaysRange2",315,"genesee"
2072,"spawnDaysRange2",320.8,"genesee"
2073,"spawnDaysRange2",319,"genesee"
2074,"spawnDaysRange2",319.4,"genesee"
2075,"spawnDaysRange2",316.6,"genesee"
2076,"spawnDaysRange2",334,"genesee"
2077,"spawnDaysRange2",322.2,"genesee"
2078,"spawnDaysRange2",335.6,"genesee"
2079,"spawnDaysRange2",334.8,"genesee"
2080,"spawnDaysRange2",327,"genesee"
2081,"spawnDaysRange2",321.2,"genesee"
2082,"spawnDaysRange2",318.6,"genesee"
2083,"spawnDaysRange2",332.8,"genesee"
2084,"spawnDaysRange2",347,"genesee"
2085,"spawnDaysRange2",334.8,"genesee"
2086,"spawnDaysRange2",329.6,"genesee"
2087,"spawnDaysRange2",333,"genesee"
2088,"spawnDaysRange2",327,"genesee"
2089,"spawnDaysRange2",338,"genesee"
2090,"spawnDaysRange2",336,"genesee"
2091,"spawnDaysRange2",325.2,"genesee"
2092,"spawnDaysRange2",330.6,"genesee"
2093,"spawnDaysRange2",333.8,"genesee"
2094,"spawnDaysRange2",338.8,"genesee"
2095,"spawnDaysRange2",336.2,"genesee"
2096,"spawnDaysRange2",352,"genesee"
2097,"spawnDaysRange2",322.8,"genesee"
2098,"spawnDaysRange2",342.8,"genesee"
2099,"spawnDaysRange2",340.2,"genesee"
2015,"lastBday",237.2,"genesee"
2016,"lastBday",249.4,"genesee"
2017,"lastBday",240.8,"genesee"
2018,"lastBday",231.2,"genesee"
2019,"lastBday",239.4,"genesee"
2020,"lastBday",242.4,"genesee"
2021,"lastBday",251.4,"genesee"
2022,"lastBday",236.4,"genesee"
2023,"lastBday",241.2,"genesee"
2024,"lastBday",240.2,"genesee"
2025,"lastBday",247.2,"genesee"
2026,"lastBday",237.2,"genesee"
2027,"lastBday",259.4,"genesee"
2028,"lastBday",248.4,"genesee"
2029,"lastBday",239,"genesee"
2030,"lastBday",252.8,"genesee"
2031,"lastBday",241.2,"genesee"
2032,"lastBday",253.4,"genesee"
2033,"lastBday",247.8,"genesee"
2034,"lastBday",257.6,"genesee"
2035,"lastBday",248.8,"genesee"
2036,"lastBday",239,"genesee"
2037,"lastBday",259.4,"genesee"
2038,"lastBday",253.6,"genesee"
2039,"lastBday",249.4,"genesee"
2040,"lastBday",262.6,"genesee"
2041,"lastBday",249.4,"genesee"
2042,"lastBday",266,"genesee"
2043,"lastBday",259.4,"genesee"
2044,"lastBday",254.4,"genesee"
2045,"lastBday",259,"genesee"
2046,"lastBday",259,"genesee"
2047,"lastBday",256.6,"genesee"
2048,"lastBday",250.8,"genesee"
2049,"lastBday",248.6,"genesee"
2050,"lastBday",254,"genesee"
2051,"lastBday",259.4,"genesee"
2052,"lastBday",261.8,"genesee"
2053,"lastBday",263.6,"genesee"
2054,"lastBday",263.6,"genesee"
2055,"lastBday",256.2,"genesee"
2056,"lastBday",260.4,"genesee"
2057,"lastBday",264.2,"genesee"
2058,"lastBday",261.6,"genesee"
2059,"lastBday",261,"genesee"
2060,"lastBday",264.6,"genesee"
2061,"lastBday",262.2,"genesee"
2062,"lastBday",253.4,"genesee"
2063,"lastBday",262,"genesee"
2064,"lastBday",259.4,"genesee"
2065,"lastBday",262.4,"genesee"
2066,"lastBday",270,"genesee"
2067,"lastBday",266,"genesee"
2068,"lastBday",261,"genesee"
2069,"lastBday",271.4,"genesee"
2070,"lastBday",261.8,"genesee"
2071,"lastBday",263.8,"genesee"
2072,"lastBday",266.4,"genesee"
2073,"lastBday",262.4,"genesee"
2074,"lastBday",263.2,"genesee"
2075,"lastBday",268.8,"genesee"
2076,"lastBday",277,"genesee"
2077,"lastBday",273.6,"genesee"
2078,"lastBday",272.2,"genesee"
2079,"lastBday",278.2,"genesee"
2080,"lastBday",269.4,"genesee"
2081,"lastBday",268.6,"genesee"
2082,"lastBday",267.6,"genesee"
2083,"lastBday",274.2,"genesee"
2084,"lastBday",271.8,"genesee"
2085,"lastBday",279.8,"genesee"
2086,"lastBday",273,"genesee"
2087,"lastBday",274.8,"genesee"
2088,"lastBday",283.8,"genesee"
2089,"lastBday",288.4,"genesee"
2090,"lastBday",276.6,"genesee"
2091,"lastBday",272.4,"genesee"
2092,"lastBday",269.8,"genesee"
2093,"lastBday",280.4,"genesee"
2094,"lastBday",282.4,"genesee"
2095,"lastBday",280.8,"genesee"
2096,"lastBday",287.2,"genesee"
2097,"lastBday",284.6,"genesee"
2098,"lastBday",289,"genesee"
2099,"lastBday",278.4,"genesee"
2015,"surviveNum",68.2,"genesee"
2016,"surviveNum",84,"genesee"
2017,"surviveNum",74.8,"genesee"
2018,"surviveNum",61,"genesee"
2019,"surviveNum",74,"genesee"
2020,"surviveNum",82,"genesee"
2021,"surviveNum",87,"genesee"
2022,"surviveNum",72.6,"genesee"
2023,"surviveNum",75,"genesee"
2024,"surviveNum",74.4,"genesee"
2025,"surviveNum",84.2,"genesee"
2026,"surviveNum",72.8,"genesee"
2027,"surviveNum",97,"genesee"
2028,"surviveNum",86.6,"genesee"
2029,"surviveNum",84.4,"genesee"
2030,"surviveNum",88.6,"genesee"
2031,"surviveNum",82.8,"genesee"
2032,"surviveNum",93.8,"genesee"
2033,"surviveNum",91.2,"genesee"
2034,"surviveNum",96.8,"genesee"
2035,"surviveNum",92.4,"genesee"
2036,"surviveNum",83.2,"genesee"
2037,"surviveNum",103.4,"genesee"
2038,"surviveNum",98.4,"genesee"
2039,"surviveNum",91.8,"genesee"
2040,"surviveNum",104.8,"genesee"
2041,"surviveNum",97.6,"genesee"
2042,"surviveNum",107.4,"genesee"
2043,"surviveNum",101.2,"genesee"
2044,"surviveNum",102.4,"genesee"
2045,"surviveNum",109.4,"genesee"
2046,"surviveNum",99,"genesee"
2047,"surviveNum",104.4,"genesee"
2048,"surviveNum",93.6,"genesee"
2049,"surviveNum",98.8,"genesee"
2050,"surviveNum",101,"genesee"
2051,"surviveNum",104.4,"genesee"
2052,"surviveNum",102.4,"genesee"
2053,"surviveNum",110.8,"genesee"
2054,"surviveNum",112.2,"genesee"
2055,"surviveNum",110.2,"genesee"
2056,"surviveNum",113,"genesee"
2057,"surviveNum",113.8,"genesee"
2058,"surviveNum",109.2,"genesee"
2059,"surviveNum",113.2,"genesee"
2060,"surviveNum",118.4,"genesee"
2061,"surviveNum",120.4,"genesee"
2062,"surviveNum",101.6,"genesee"
2063,"surviveNum",115.8,"genesee"
2064,"surviveNum",111,"genesee"
2065,"surviveNum",118.6,"genesee"
2066,"surviveNum",117.8,"genesee"
2067,"surviveNum",120.4,"genesee"
2068,"surviveNum",114.8,"genesee"
2069,"surviveNum",126.8,"genesee"
2070,"surviveNum",120.4,"genesee"
2071,"surviveNum",126.6,"genesee"
2072,"surviveNum",119.4,"genesee"
